neigh_name,total_liv_score,edmonton_rank,cost_of_living_percent,crime_rate,median_income,in_labor_force,unemployment_rate,median_house_val,home_owner_percent,high_school_percent,bach_degree,test_scores,area_pop,pop_dense,med_age,male_to_fem,marri_coup,fam_w_kids
ottewell,74,#127,89,"6,503","$90,344",71%,7%,"$333,100",81%,86%,26%,70%,"6,365","2,447",43.6,1.1:1,68%,39%
overlanders,64,#295,89,"7,264","$69,492",71%,7%,"$332,357",31%,78%,13%,66%,"3,176","4,086",33.1,1.0:1,50%,40%
parkallen,74,#105,94,"5,602","$90,498",80%,4%,"$433,406",59%,93%,50%,71%,"2,583","3,100",34.4,1.0:1,62%,39%
parkdale,65,#293,84,"8,614","$56,516",69%,8%,"$233,674",50%,75%,19%,60%,"3,958","4,136",38.0,0.9:1,48%,35%
parkview,87,#8,100,"2,614","$141,214",72%,3%,"$562,620",89%,92%,46%,72%,"3,623","2,259",43.8,1.0:1,79%,48%
patricia heights,86,#27,93,"4,526","$121,058",72%,5%,"$430,157",51%,89%,32%,75%,"2,047","2,650",35.2,1.0:1,62%,46%
pleasantview,75,#111,91,"6,275","$88,231",78%,6%,"$367,166",53%,92%,40%,91%,"4,732","3,060",36.1,1.1:1,67%,39%
pollard meadows,71,#212,85,"7,790","$74,228",70%,7%,"$254,188",64%,83%,22%,67%,"4,993","4,640",34.2,1.0:1,68%,48%
prince charles,67,#276,85,"8,018","$71,418",76%,7%,"$240,061",53%,79%,16%,54%,"1,779","2,184",36.6,0.9:1,52%,37%
queen alexandra,69,#247,90,"7,627","$53,856",78%,6%,"$355,046",24%,93%,49%,71%,"5,440","4,389",33.0,0.9:1,52%,23%
queen mary park,67,#279,86,"8,918","$55,514",82%,9%,"$203,682",28%,85%,29%,64%,"8,311","4,394",33.7,0.8:1,52%,30%
rhatigan ridge,88,#10,99,"2,549","$180,283",60%,4%,"$528,071",98%,93%,55%,75%,"3,393","2,604",48.4,1.0:1,88%,52%
richfield,71,#211,87,"7,265","$76,719",64%,5%,"$302,955",49%,81%,25%,59%,"3,843","3,953",33.2,1.1:1,63%,45%
rideau park,71,#192,90,"7,217","$71,570",60%,4%,"$329,245",46%,87%,33%,70%,"2,355","2,767",41.9,1.1:1,72%,37%
rio terrace,82,#45,96,"3,887","$137,692",60%,2%,"$434,276",91%,93%,42%,62%,"1,379","1,692",45.8,0.9:1,79%,46%
ritchie,75,#116,90,"6,823","$75,648",80%,4%,"$356,854",53%,90%,39%,71%,"4,598","3,678",35.6,1.0:1,56%,29%
riverdale,71,#152,95,"5,384","$114,467",73%,3%,"$360,710",72%,93%,46%,72%,"2,199","2,235",43.0,1.1:1,62%,31%
rosslyn,68,#270,85,"7,971","$68,884",68%,8%,"$255,603",63%,79%,14%,55%,"3,376","2,548",44.4,1.1:1,60%,37%
royal gardens,72,#169,87,"7,291","$78,747",72%,5%,"$291,799",52%,87%,36%,71%,"3,805","3,106",35.1,1.0:1,66%,45%
rundle heights,69,#255,86,"8,349","$58,251",59%,8%,"$256,383",46%,75%,13%,70%,"3,699","4,398",33.0,1.0:1,50%,34%
rutherford,73,#133,90,"5,836","$102,744",77%,5%,"$357,619",81%,92%,41%,71%,"12,986","5,845",34.2,1.0:1,76%,55%
sakaw,69,#252,87,"6,932","$88,859",67%,7%,"$291,084",75%,84%,19%,61%,"4,244","3,846",37.4,1.0:1,69%,45%
satoo,73,#171,87,"7,110","$86,670",63%,6%,"$280,037",85%,84%,17%,59%,"3,748","2,805",40.4,0.9:1,69%,42%
secord,74,#122,91,"4,641","$126,140",87%,5%,"$396,630",94%,89%,36%,58%,"4,760","1,474",33.4,1.0:1,78%,58%
sherbrooke,73,#156,86,"7,581","$77,366",75%,7%,"$264,933",55%,80%,17%,71%,"2,571","2,794",37.1,0.9:1,58%,37%
sifton park,73,#213,85,"8,035","$69,224",66%,8%,"$247,121",39%,80%,17%,61%,"2,283","4,731",35.1,0.9:1,59%,41%
skyrattler,67,#284,85,"8,340","$61,052",77%,8%,"$246,022",41%,91%,33%,53%,"2,217","3,579",37.2,1.1:1,63%,33%
spruce avenue,65,#294,86,"8,016","$65,433",70%,7%,"$264,522",43%,87%,23%,61%,"1,865","1,653",37.5,0.9:1,47%,33%
strathcona,76,#92,93,"6,214","$73,650",80%,4%,"$433,198",35%,93%,52%,70%,"9,654","5,178",34.3,0.9:1,57%,26%
strathearn,70,#191,93,"5,940","$80,608",78%,5%,"$435,637",43%,91%,41%,61%,"2,885","3,821",40.1,1.0:1,58%,36%
sweet grass,72,#155,89,"6,763","$85,888",69%,4%,"$322,017",64%,90%,42%,70%,"2,848","3,058",36.9,1.1:1,71%,46%
tamarack,75,#119,90,"5,808","$103,819",79%,6%,"$356,381",80%,90%,34%,75%,"6,194","2,273",31.5,1.0:1,77%,62%
terrace heights,72,#177,90,"7,174","$66,836",75%,5%,"$353,179",46%,85%,22%,63%,"2,467","3,308",41.9,0.9:1,62%,35%
terwillegar towne,77,#78,93,"4,668","$124,317",75%,4%,"$400,990",80%,91%,42%,74%,"6,781","3,783",38.2,1.1:1,76%,57%
the orchards at ellerslie,85,#26,95,"3,227","$142,752",84%,5%,"$487,752",94%,92%,39%,67%,"4,931","1,037",32.1,1.0:1,80%,62%
tipaskan,71,#195,86,"7,627","$74,764",65%,8%,"$270,290",50%,87%,26%,66%,"3,379","4,081",35.1,1.0:1,67%,48%
tweddle place,76,#113,86,"7,325","$81,965",66%,8%,"$275,003",56%,81%,23%,63%,"3,633","3,157",35.4,1.1:1,72%,50%
twin brooks,86,#24,94,"4,111","$132,282",64%,3%,"$431,039",94%,89%,43%,77%,"7,113","2,426",46.9,1.0:1,86%,54%
university of alberta farm,66,#225,98,"5,059","$77,140",83%,3%,"$548,407",20%,89%,39%,37%,165,38,41.4,1.1:1,71%,36%
virginia park,71,#204,89,"7,551","$64,215",65%,8%,"$321,573",49%,86%,32%,65%,728,"1,330",45.3,1.1:1,63%,34%
walker,80,#58,93,"4,394","$119,239",82%,6%,"$452,263",88%,89%,44%,67%,"10,422","3,549",32.3,1.0:1,80%,60%
webber greens,79,#70,92,"4,905","$112,392",81%,4%,"$422,787",77%,88%,31%,64%,"3,653","2,620",34.6,1.0:1,78%,58%
weinlos,70,#246,87,"7,426","$78,912",71%,6%,"$276,077",69%,84%,20%,64%,"3,518","3,879",38.0,1.0:1,71%,47%
wellington,68,#267,85,"7,643","$76,143",70%,6%,"$262,922",68%,80%,15%,54%,"3,534","2,883",36.5,1.0:1,60%,41%
west jasper place,67,#269,89,"7,713","$54,836",73%,7%,"$341,458",33%,79%,16%,60%,"3,583","3,991",39.6,1.0:1,59%,37%
west meadowlark park,72,#183,85,"7,875","$72,193",76%,4%,"$252,974",59%,86%,23%,66%,"3,906","3,457",42.0,1.1:1,62%,41%
westmount,76,#98,91,"6,586","$75,893",81%,5%,"$382,452",55%,91%,40%,68%,"6,621","3,443",37.8,1.0:1,63%,37%
wild rose,69,#239,91,"5,109","$118,926",67%,4%,"$373,372",87%,82%,22%,66%,"8,977","5,418",36.1,1.0:1,84%,62%
windermere,91,#2,99,"2,549","$157,833",83%,4%,"$596,515",86%,93%,46%,76%,"9,171","1,717",32.5,1.0:1,78%,54%
woodcroft,68,#266,87,"7,484","$75,247",71%,4%,"$284,403",66%,87%,29%,54%,"4,048","2,692",42.3,1.2:1,54%,39%
york,70,#241,86,"7,340","$84,519",67%,5%,"$262,882",58%,78%,13%,63%,"4,173","3,550",37.3,1.0:1,62%,39%
